road_address,building_name,status,confirmed_units
강원특별자치도 홍천군 화촌면 답연밭길 5-3,풀스테이더네이쳐홍천P,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-4,풀스테이더네이쳐홍천B,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-5,풀스테이더네이쳐홍천O,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-6,풀스테이더네이쳐홍천C,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-7,풀스테이더네이쳐홍천N,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-8,풀스테이더네이쳐홍천D,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-9,풀스테이더네이쳐홍천M,제외확정,0.0
강원특별자치도 홍천군 화촌면 당무로 855,풀스테이 스테이휴,제외확정,1.0
강원특별자치도 홍천군 화촌면 도심리길 269-16,나는숲이다,대장조회실패(정보없음),
경기도 부천시 소사구 성무로 7 (심곡본동),카프리,대장조회실패(정보없음),
경기도 부천시 소사구 호현로 475 (소사본동),소사빌,대장조회실패(정보없음),
"경기도 부천시 소사구 호현로474번길 14, 1~2층 (소사본동)",창성여인숙,대장조회실패(정보없음),
경기도 성남시 수정구 수정로188번길 4 (신흥동),없음,제외확정,0.0
경기도 성남시 수정구 수정로207번길 6 (태평동),없음,대장조회실패(정보없음),
"경기도 수원시 장안구 연무로56번길 44, 1,2,3,4,5층 (연무동, 동문빌딩)",동문빌딩,제외확정,0.0
"경기도 수원시 장안구 파장로 71-18 (정자동,(1~8층))",아이비모텔,제외확정,0.0
"경기도 수원시 장안구 팔달로271번길 8, 4층 (영화동)",옥상파티,제외확정,0.0
"경기도 의정부시 시민로122번길 36, 나이스빌 (의정부동)",나이스빌,제외확정,29.0
"경기도 의정부시 시민로122번길 41, 스카이블루 (의정부동)",스카이블루,제외확정,0.0
"경기도 의정부시 시민로122번길 41-44, 파라곤타워 (의정부동)",명수타운,제외확정,29.0
"경기도 의정부시 시민로122번길 9-6, 우일하우스 (의정부동)",우일하우스,구제됨(재등록),43.0
"경기도 의정부시 시민로132번길 11-13, 에스턴 (의정부동)",에스턴,구제됨(재등록),74.0
"경기도 의정부시 시민로132번길 11-5, 현대하우스 (의정부동)",현대하우스,구제됨(재등록),41.0
"경기도 의정부시 시민로132번길 11-8, 동방타워 (의정부동)",동방타워,구제됨(재등록),40.0
"경기도 의정부시 시민로132번길 16, 소나무하우스 (의정부동)",소나무하우스,구제됨(재등록),36.0
경기도 의정부시 시민로132번길 32 (의정부동),드림빌 17차,구제됨(재등록),33.0
"경기도 의정부시 시민로132번길 34, 휴스테이 (의정부동)",휴스테이,구제됨(재등록),32.0
"경기도 의정부시 시민로143번길 21-4, 자연빌 (의정부동)",자연빌,제외확정,0.0
"경기도 의정부시 시민로146번길 24, 센트빌 (의정부동)",센트빌,제외확정,0.0
"경기도 의정부시 시민로146번길 28, 드림빌15차 (의정부동)",드림빌 15차,구제됨(재등록),36.0
"경기도 의정부시 시민로146번길 29, 현대레디앙 (의정부동)",현대레디앙,제외확정,0.0
"경기도 의정부시 시민로157번길 55, 느티나무 (의정부동)",느티나무,제외확정,24.0
"경기도 의정부시 시민로157번길 56, 스테이어반 (의정부동)",스테이어반,구제됨(재등록),32.0
"경기도 의정부시 신흥로231번길 17 (의정부동, 스테이 유)",스테이유,구제됨(재등록),184.0
"경기도 의정부시 신흥로232번길 11, 레몬트리지움 (의정부동)",레몬트리지움,구제됨(재등록),117.0
"경기도 의정부시 신흥로258번길 35, 피아플러스 (의정부동)",피아플러스,제외확정,0.0
"경기도 의정부시 신흥로274번길 29, 드림빌 14차 (의정부동)",드림빌 14차,제외확정,16.0
"경기도 의정부시 신흥로274번길 31, 휴스테이 (의정부동)",휴스테이,구제됨(재등록),36.0
"경기도 의정부시 태평로 109, 동원빌딩 (의정부동)",동원빌딩,제외확정,0.0
"경기도 의정부시 태평로100번길 6, 대봉하우스 (의정부동)",대봉하우스,제외확정,0.0
