road_address,building_name,status,confirmed_units
경기도 의정부시 호국로1336번길 39 (의정부동),우리.다,이미등록됨,31
"경기도 의정부시 호국로1336번길 39-9, 2~7층 (의정부동)",따뜻한 공간,제외확정,29
경기도 의정부시 호국로1336번길 52 (의정부동),제이원하우스,제외확정,24
"경기도 의정부시 호국로1336번길 57-5, 뉴스타 2~8층 (의정부동)",뉴스타,이미등록됨,38
경기도 의정부시 호국로1336번길 9-18 (의정부동),다정,제외확정,0
"경기도 의정부시 호국로1346번길 66, 이원주택 (의정부동)",이원주택,제외확정,25
경기도 의정부시 호국로1346번길 74 (의정부동),행복주택,이미등록됨,36
"경기도 의정부시 흥선로154번길 8, 한도빌 (의정부동)",한도빌,제외확정,0
"경기도 의정부시 흥선로164번길 23, 아이앤유 1-9층 (의정부동)",아이앤유,이미등록됨,41
"경기도 의정부시 흥선로164번길 27, 수아하우스 (의정부동)",수아하우스,이미등록됨,34
"경기도 의정부시 흥선로168번길 49, 샤인빌 (의정부동)",샤인빌,이미등록됨,30
경기도 의정부시 흥선로171번길 16 (의정부동),부영하우스 A,제외확정,0
경기도 의정부시 흥선로171번길 18 (의정부동),영하우스,제외확정,0
"경기도 의정부시 흥선로177번길 13, 에이원타운B동 (의정부동)",에이원타운B동,이미등록됨,40
경기도 의정부시 흥선로177번길 19 (의정부동),정림,제외확정,0
