road_address,building_name,status,confirmed_units
경기도 의정부시 호국로1336번길 39 (의정부동),우리.다,이미등록됨,31.0
"경기도 의정부시 호국로1336번길 39-9, 2~7층 (의정부동)",따뜻한 공간,제외확정,29.0
경기도 의정부시 호국로1336번길 52 (의정부동),제이원하우스,제외확정,24.0
"경기도 의정부시 호국로1336번길 57-5, 뉴스타 2~8층 (의정부동)",뉴스타,이미등록됨,38.0
경기도 의정부시 호국로1336번길 9-18 (의정부동),다정,제외확정,0.0
"경기도 의정부시 호국로1346번길 66, 이원주택 (의정부동)",이원주택,제외확정,25.0
경기도 의정부시 호국로1346번길 74 (의정부동),행복주택,이미등록됨,36.0
"경기도 의정부시 흥선로154번길 8, 한도빌 (의정부동)",한도빌,제외확정,0.0
"경기도 의정부시 흥선로164번길 23, 아이앤유 1-9층 (의정부동)",아이앤유,이미등록됨,41.0
"경기도 의정부시 흥선로164번길 27, 수아하우스 (의정부동)",수아하우스,이미등록됨,34.0
"경기도 의정부시 흥선로168번길 49, 샤인빌 (의정부동)",샤인빌,구제됨(재등록),30.0
경기도 의정부시 흥선로171번길 16 (의정부동),부영하우스 A,제외확정,0.0
경기도 의정부시 흥선로171번길 18 (의정부동),영하우스,제외확정,0.0
"경기도 의정부시 흥선로177번길 13, 에이원타운B동 (의정부동)",에이원타운B동,구제됨(재등록),40.0
경기도 의정부시 흥선로177번길 19 (의정부동),정림,제외확정,0.0
경기도 의정부시 흥선로177번길 25 (의정부동),팔레스텔,제외확정,0.0
경기도 의정부시 흥선로177번길 26 (의정부동),일룸,제외확정,0.0
경기도 의정부시 흥선로177번길 27 (의정부동),그레이스텔,제외확정,0.0
경기도 평택시 안중읍 안중로131번길 4,40,제외확정,0.0
경기도 평택시 안중읍 안현로서9길 20-6,57,제외확정,0.0
경기도 평택시 청북읍 현곡2길 7,28,제외확정,0.0
경기도 포천시 소흘읍 죽엽산로 426-15,호수궁전,대장조회실패(정보없음),
"경기도 하남시 대청로 32, 4,5층 (신장동)",서원고시텔,제외확정,0.0
"경기도 하남시 대청로 34 (신장동, 5층,6층)",하남고시텔,제외확정,11.0
"경기도 하남시 대청로 34, 4층 (신장동)",미니하우스,제외확정,11.0
"경기도 하남시 덕풍동로 111-10, 트윈렉스1 3층 309,310,311호 (덕풍동)",하트에이레지던스,구제됨(재등록),158.0
"경기도 하남시 덕풍동로 111-50, 309,310,311호 (덕풍동, 트윈렉스Ⅱ)",하트비레지던스,구제됨(재등록),153.0
"경기도 하남시 신장1로 1, 4층 (신장동)",다산고시텔,제외확정,11.0
"경기도 하남시 신장1로 1, 7층 (신장동)",싱글하우스,제외확정,11.0
"서울시 용산구 백범로90길 90, 상가동 2,3층 (문배동)",용산kcc웰츠타워,구제됨(재등록),197.0
서울특별시 강서구 마곡동로4길 23(마곡동),루체브릿지,구제됨(재등록),232.0
서울특별시 강서구 마곡중앙6로 76-3(마곡동),인터시티365,구제됨(재등록),363.0
서울특별시 중랑구 겸재로 115(면목동),팰리스,제외확정,0.0
