road_address,building_name,status,confirmed_units
경기도 의정부시 태평로108번길 16 (의정부동),제이제이 하우스,제외확정,18
경기도 의정부시 태평로118번길 25 (의정부동),썬빌,제외확정,28
"경기도 의정부시 태평로45번길 17, 일진쉐르빌 1~5층 (의정부동)",일진쉐르빌,제외확정,0
"경기도 의정부시 태평로46번길 6, 지상1~5층 (의정부동)",한우리,제외확정,0
"경기도 의정부시 평화로 479-6, 아침동산 (의정부동)",아침동산,제외확정,27
"경기도 의정부시 평화로 510, 센트럴파크빌 (의정부동)",센트럴 파크빌,구제됨(재등록),71
"경기도 의정부시 평화로483번길 14, 이안빌 (의정부동)",이안빌,제외확정,27
"경기도 의정부시 평화로483번길 22, 에이스빌 (의정부동)",에이스빌,제외확정,0
"경기도 의정부시 평화로483번길 23, 월드타워 (의정부동)",월드타워,구제됨(재등록),36
경기도 의정부시 평화로483번길 30-6 (의정부동),화이트 빌,제외확정,0
경기도 의정부시 평화로483번길 40 (의정부동),엠유하우스,구제됨(재등록),37
경기도 의정부시 평화로483번길 50 (의정부동),한길,제외확정,0
"경기도 의정부시 평화로483번길 8, 가온 (의정부동)",가온,제외확정,0
"경기도 의정부시 평화로484번길 5, 스카이빌 (의정부동)",스카이빌,구제됨(재등록),32
경기도 의정부시 평화로494번길 24 (의정부동),싱글하우스,제외확정,0
"경기도 의정부시 평화로504번길 21-3, 웰스테이 (의정부동)",웰스테이,구제됨(재등록),36
경기도 의정부시 평화로504번길 28 (의정부동),굿모닝 힐하우스,제외확정,0
"경기도 의정부시 평화로542번길 7-14, 가람빌딩 (의정부동)",가람빌딩,구제됨(재등록),30
"경기도 의정부시 평화로542번길 7-9, 3,4층 (의정부동)",생활형숙박,제외확정,0
"경기도 의정부시 평화로551번길 14, 에이원타운(A동) (의정부동)",에이원타운A동,구제됨(재등록),41
경기도 의정부시 평화로561번길 5 (의정부동),스테이포유(Stay4U),제외확정,0
"경기도 의정부시 평화로562번길 47-11, 그린파크 (의정부동)",그린파크,제외확정,0
"경기도 의정부시 호국로1276번길 10, 현대타워C동 (의정부동)",현대타워C동,제외확정,0
경기도 의정부시 호국로1276번길 19 (의정부동),위너스 원,제외확정,0
경기도 의정부시 호국로1298번길 15 (의정부동),청비빌딩,제외확정,0
"경기도 의정부시 호국로1298번길 35, 현대레디앙 (의정부동)",현대레디앙,제외확정,0
"경기도 의정부시 호국로1298번길 39-7, 대우힐스 (의정부동)",대우힐스,구제됨(재등록),40
"경기도 의정부시 호국로1310번길 14, 4,5(일부)층 401-405,501,502호 (의정부동)",주식회사 맵시글로벌,제외확정,7
"경기도 의정부시 호국로1336번길 19, 1,2,3층 (의정부동)",삼성맨션,제외확정,0
"경기도 의정부시 호국로1336번길 20, 리즈빌 (의정부동)",리즈빌,제외확정,0
경기도 의정부시 호국로1336번길 39 (의정부동),우리.다,구제됨(재등록),31
"경기도 의정부시 호국로1336번길 39-9, 2~7층 (의정부동)",따뜻한 공간,제외확정,29
경기도 의정부시 호국로1336번길 52 (의정부동),제이원하우스,제외확정,24
"경기도 의정부시 호국로1336번길 57-5, 뉴스타 2~8층 (의정부동)",뉴스타,구제됨(재등록),38
경기도 의정부시 호국로1336번길 9-18 (의정부동),다정,제외확정,0
"경기도 의정부시 호국로1346번길 66, 이원주택 (의정부동)",이원주택,제외확정,25
경기도 의정부시 호국로1346번길 74 (의정부동),행복주택,구제됨(재등록),36
"경기도 의정부시 흥선로154번길 8, 한도빌 (의정부동)",한도빌,제외확정,0
"경기도 의정부시 흥선로164번길 23, 아이앤유 1-9층 (의정부동)",아이앤유,구제됨(재등록),41
"경기도 의정부시 흥선로164번길 27, 수아하우스 (의정부동)",수아하우스,구제됨(재등록),34
