road_address,building_name,status,confirmed_units
강원특별자치도 홍천군 서면 한서로 2344-12,펜타곤애견펜션,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한서로 2344-14,펫티움애견펜션,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워C비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워B비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노캄 비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노펠리체비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워A비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 262,소노펠리체빌리지E~H비발디파크,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 한치골길 262, 대명비발디파크",소노펠리체빌리지A~D비발디파크,대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 한치골길 262, 대명비발디파크",소노펠리체빌리지I~O비발디파크,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 62-6,더오딘펜션(J동),대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 62-8,더오딘펜션(Q동),대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 62-9,더오딘펜션(K동),대장조회실패(정보없음),
"강원특별자치도 홍천군 서면 한치골길 763, 2~3층",비발디의아침,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 83-3,오유원플러스,대장조회실패(정보없음),
강원특별자치도 홍천군 서면 한치골길 83-5,오유원,대장조회실패(정보없음),
강원특별자치도 홍천군 서석면 진여울길 238,원더키즈풀빌라,대장조회실패(정보없음),
강원특별자치도 홍천군 영귀미면 덕치새들길 1-5,펜션21,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 남산강변로 55,LK HOTEL,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 독골길 52-16,밀리언그라운드 홍천,제외확정,0.0
"강원특별자치도 홍천군 홍천읍 무궁화로 102, 3,4층",대성,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 설악로 1471,W하우스,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 소옥개로 142,호텔화양강,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 영서로 1673,풍경이있는펜션,대장조회실패(정보없음),
강원특별자치도 홍천군 홍천읍 와동로34번길 123,초록,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 구룡령로 1016-29,알프스밸리캠핑나라,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 군들길 114,베이컨 홍천,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 군업안말길 153-14,홍천풀빌라소토보체,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 군업안말길 153-16,소토보체,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 답연밭길 14-23,해와 달의 마음,대장조회실패(정보없음),
강원특별자치도 홍천군 화촌면 답연밭길 5-1,풀스테이더네이쳐홍천Q,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-10,풀스테이더네이쳐홍천E,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-11,풀스테이더네이쳐홍천L,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-12,풀스테이더네이쳐홍천F,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-13,주식회사진호개발,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-14,풀스테이더네이쳐홍천G,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-16,풀스테이더네이쳐홍천H,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-18,풀스테이더네이쳐홍천I,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-2,풀스테이스테이펫홍천,제외확정,0.0
강원특별자치도 홍천군 화촌면 답연밭길 5-20,풀스테이더네이쳐홍천J,제외확정,0.0
